"","trainingSGBPS.v210","trainingSGBPS.v144","trainingSGBPS.v165","trainingSGBPS.v7","trainingSGBPS.v214"
"1",0,0,0,10,"0"
"2",0,0,0,0,"0"
"3",2,0,0,7,"1"
"4",0,45.5,56,15,"0"
"5",0,0,0,7,"0"
"6",0,0,0,7,"0"
"7",0,46.7,0,14,"0"
"8",0,51.1,81,6,"0"
"9",3,0,0,0,"1"
"10",2,0,0,2,"1"
"11",4,0,0,2,"1"
"12",2,0,0,0,"1"
"13",1,0,0,2,"1"
"14",1,0,0,0,"1"
"15",0,0,0,8,"0"
"16",2,0,0,0,"1"
"17",0,49.4,0,8,"0"
"18",0,0,0,7,"0"
"19",0,53.3,0,6,"0"
"20",3,0,0,7,"1"
"21",1,0,0,7,"1"
"22",1,0,0,0,"1"
"23",0,0,0,5,"0"
"24",1,0,0,0,"1"
"25",0,0,0,0,"0"
"26",1,46.8,44,7,"1"
"27",0,0,0,0,"0"
"28",1,0,0,0,"1"
"29",0,53.5,81,4,"1"
"30",0,0,0,12,"0"
"31",2,0,0,10,"1"
"32",0,57.1,0,7,"1"
"33",3,0,0,3,"1"
"34",3,0,0,10,"1"
"35",0,49.9,0,0,"0"
"36",0,50.1,75,0,"1"
"37",0,0,0,0,"1"
"38",2,0,0,3,"1"
"39",0,68,0,4,"0"
"40",3,0,0,2,"1"
"41",1,0,0,7,"1"
"42",0,0,0,7,"0"
"43",1,0,0,0,"1"
"44",2,0,0,12,"1"
"45",0,24.7,88,5,"0"
"46",0,0,0,0,"0"
"47",1,0,0,14,"1"
